Date,Z_Score,Signal,Position
2025-03-26 17:30:00+00:00,0.6801344333769765,-1,-1
2025-03-26 18:30:00+00:00,0.6902726294271786,-1,-1
2025-03-26 19:30:00+00:00,0.6415461867932517,-1,-1
2025-03-27 13:30:00+00:00,0.9157395087475939,-1,-1
2025-03-27 14:30:00+00:00,0.926865286432719,-1,-1
2025-03-27 15:30:00+00:00,0.8814827820305771,-1,-1
2025-03-27 16:30:00+00:00,0.9040206153516737,-1,-1
2025-03-27 17:30:00+00:00,0.8790642385686375,-1,-1
2025-03-27 18:30:00+00:00,0.9600200757418919,-1,-1
2025-03-27 19:30:00+00:00,0.9276550757237795,-1,-1
2025-03-28 13:30:00+00:00,1.1804196214308211,-1,-1
2025-03-28 14:30:00+00:00,1.1219184620550737,-1,-1
2025-03-28 15:30:00+00:00,0.9937146102404275,-1,-1
2025-03-28 16:30:00+00:00,0.9935041338361621,-1,-1
2025-03-28 17:30:00+00:00,0.5790124504842349,0,-1
2025-03-28 18:30:00+00:00,0.8196379882708063,-1,-1
2025-03-28 19:30:00+00:00,0.7843759786457736,-1,-1
2025-03-31 13:30:00+00:00,1.3784959854090244,-1,-1
2025-03-31 14:30:00+00:00,1.321418421137743,-1,-1
2025-03-31 15:30:00+00:00,1.2180037967749775,-1,-1
2025-03-31 16:30:00+00:00,1.2016423541591632,-1,-1
2025-03-31 17:30:00+00:00,1.3100423783531503,-1,-1
2025-03-31 18:30:00+00:00,1.3509748780781132,-1,-1
2025-03-31 19:30:00+00:00,1.2478689001356553,-1,-1
2025-04-01 13:30:00+00:00,1.1672809751560944,-1,-1
2025-04-01 14:30:00+00:00,1.2616528947201837,-1,-1
2025-04-01 15:30:00+00:00,1.2333119293580246,-1,-1
2025-04-01 16:30:00+00:00,1.2180365422409372,-1,-1
2025-04-01 17:30:00+00:00,1.2469837135330208,-1,-1
2025-04-01 18:30:00+00:00,1.2121561563415204,-1,-1
2025-04-01 19:30:00+00:00,1.3210443501673477,-1,-1
2025-04-02 13:30:00+00:00,1.3598404325432576,-1,-1
2025-04-02 14:30:00+00:00,1.2989988616842012,-1,-1
2025-04-02 15:30:00+00:00,1.0654152168260425,-1,-1
2025-04-02 16:30:00+00:00,1.019395926036956,-1,-1
2025-04-02 17:30:00+00:00,1.0274236444407474,-1,-1
2025-04-02 18:30:00+00:00,1.0698546101956619,-1,-1
2025-04-02 19:30:00+00:00,1.1105533344257974,-1,-1
2025-04-03 13:30:00+00:00,1.8434071809429158,-1,-1
2025-04-03 14:30:00+00:00,2.0953465980171524,-1,-1
2025-04-03 15:30:00+00:00,1.8837064395475733,-1,-1
2025-04-03 16:30:00+00:00,1.791636627463188,-1,-1
2025-04-03 17:30:00+00:00,1.9521875012658365,-1,-1
2025-04-03 18:30:00+00:00,1.8540456734487367,-1,-1
2025-04-03 19:30:00+00:00,1.8366603892900222,-1,-1
2025-04-04 13:30:00+00:00,1.491700921610842,-1,-1
2025-04-04 14:30:00+00:00,1.004903799204629,0,-1
2025-04-04 15:30:00+00:00,0.91856017864911,0,-1
2025-04-04 16:30:00+00:00,0.8900300143758795,0,-1
2025-04-04 17:30:00+00:00,0.7101292405512037,0,-1
2025-04-04 18:30:00+00:00,0.7130371653134455,0,-1
2025-04-04 19:30:00+00:00,0.5389346036411821,0,-1
2025-04-07 13:30:00+00:00,-0.38769625184861684,0,-1
